codigo,nombre,edad,ciudad,notas,cuidadorEmail
D01,Dolores Ruiz,75,León,Vive sola,marta@nidara.app
D02,Antonio Vega,76,Madrid,Movilidad reducida,carlos@nidara.app
D03,Carmen Soler,77,Sevilla,Diabetes tipo 2,pablo@nidara.app
D04,Manuel Gil,78,Valencia,Hipertensión,nuria@nidara.app
D05,Josefa Mora,79,Zaragoza,Principio de demencia,sara@nidara.app
D06,Francisco Díaz,80,León,Vive sola,admin@nidara.app
D07,Isabel León,81,Madrid,Movilidad reducida,marta@nidara.app
D08,Rafael Prieto,82,Sevilla,Diabetes tipo 2,carlos@nidara.app
D09,Pilar Navarro,83,Valencia,Hipertensión,pablo@nidara.app
D10,Ramón Ortega,84,Zaragoza,Principio de demencia,nuria@nidara.app
D11,Encarna Ibáñez,85,León,Vive sola,sara@nidara.app
D12,Tomás Cano,86,Madrid,Movilidad reducida,admin@nidara.app
